109.88235 - 1310,586 - Button.right
110.00079 - 1292,571 - Button.right
110.12272 - 1272,488 - Button.right
110.23276 - 1270,482 - Button.right
110.34231 - 1246,421 - Button.right
110.44377 - 1242,423 - Button.right
110.57031 - 1242,423 - Button.right
110.68074 - 1242,423 - Button.right
111.05439 - 1433,706 - Button.right
111.15890 - 1451,782 - Button.right
111.23246 - 1450,827 - Button.right
111.36480 - 1467,835 - Button.right
111.46262 - 1501,829 - Button.right
111.57137 - 1501,827 - Button.right
111.70161 - 1515,782 - Button.right
111.81006 - 1515,782 - Button.right
112.15978 - 1678,748 - Button.right
112.28452 - 1683,748 - Button.right
112.41635 - 1724,531 - Button.right
112.53292 - 1718,523 - Button.right
112.64539 - 1686,534 - Button.right
112.76580 - 1652,565 - Button.right
112.88135 - 1627,519 - Button.right
112.99135 - 1585,539 - Button.right
113.10143 - 1587,580 - Button.right
113.21852 - 1598,674 - Button.right
113.32367 - 1599,735 - Button.right
113.42852 - 1577,747 - Button.right
113.51586 - 1560,748 - Button.right
113.63745 - 1539,768 - Button.right
113.73371 - 1493,807 - Button.right
113.84846 - 1486,813 - Button.right
113.95094 - 1468,827 - Button.right
114.07978 - 1385,861 - Button.right
114.19014 - 1378,861 - Button.right
114.29642 - 1362,866 - Button.right
115.04107 - 1624,592 - Button.right
115.14012 - 1624,590 - Button.right
115.23207 - 1590,584 - Button.right
115.34734 - 1504,631 - Button.right
115.45141 - 1465,613 - Button.right
115.57337 - 1358,584 - Button.right
115.68138 - 1323,550 - Button.right
115.78538 - 1309,548 - Button.right
115.89606 - 1301,534 - Button.right
115.98323 - 1300,533 - Button.right
116.08120 - 1293,520 - Button.right
116.18693 - 1292,519 - Button.right
116.42784 - 1422,353 - Button.right
116.55006 - 1441,346 - Button.right
116.65844 - 1461,366 - Button.right
116.79670 - 1490,381 - Button.right
116.88130 - 1490,380 - Button.right
116.98501 - 1472,390 - Button.right
117.11703 - 1501,378 - Button.right
117.21371 - 1530,383 - Button.right
117.31939 - 1556,365 - Button.right
117.42350 - 1546,360 - Button.right
117.52221 - 1547,360 - Button.right
117.61340 - 1547,360 - Button.right
117.71199 - 1574,355 - Button.right
117.80644 - 1576,354 - Button.right
117.98472 - 1606,420 - Button.right
118.08619 - 1614,423 - Button.right
118.20091 - 1644,432 - Button.right
118.34565 - 1648,422 - Button.right
118.42911 - 1653,411 - Button.right
118.56177 - 1653,411 - Button.right
118.61229 - 1653,412 - Button.right
118.72845 - 1653,411 - Button.right
118.88444 - 1653,441 - Button.right
118.94912 - 1656,446 - Button.right
119.60492 - 1775,566 - Button.right
119.70833 - 1783,566 - Button.right
