351.04263 - 1138,456 - Button.right
351.15929 - 1149,462 - Button.right
351.28987 - 1140,441 - Button.right
351.37947 - 1132,458 - Button.right
351.47374 - 1124,454 - Button.right
351.52290 - 1124,454 - Button.right
351.62100 - 1190,416 - Button.right
351.69147 - 1188,416 - Button.right
352.02495 - 1183,332 - Button.right
352.13385 - 1182,331 - Button.right
352.24872 - 1165,285 - Button.right
352.33240 - 1162,285 - Button.right
352.46309 - 1091,306 - Button.right
352.54259 - 1082,308 - Button.right
352.67332 - 1089,307 - Button.right
352.72934 - 1093,305 - Button.right
353.05141 - 1047,360 - Button.right
353.14284 - 896,490 - Button.right
353.22559 - 853,556 - Button.right
353.33136 - 767,685 - Button.right
353.41681 - 748,736 - Button.right
353.53437 - 625,823 - Button.right
353.60692 - 581,834 - Button.right
353.70919 - 556,851 - Button.right
353.81937 - 547,853 - Button.right
353.92319 - 552,853 - Button.right
354.03028 - 552,853 - Button.right
354.12022 - 552,853 - Button.right
354.22737 - 577,843 - Button.right
354.31085 - 576,842 - Button.right
354.41851 - 570,824 - Button.right
354.51641 - 565,824 - Button.right
354.62356 - 559,824 - Button.right
354.72463 - 563,824 - Button.right
354.82748 - 568,822 - Button.right
354.92104 - 571,823 - Button.right
355.02478 - 574,824 - Button.right
355.12840 - 579,825 - Button.right
355.23974 - 583,824 - Button.right
355.36913 - 585,823 - Button.right
355.49675 - 604,812 - Button.right
355.61650 - 610,815 - Button.right
355.72352 - 620,815 - Button.right
355.84045 - 619,817 - Button.right
355.94744 - 609,816 - Button.right
356.07391 - 594,826 - Button.right
356.16988 - 592,827 - Button.right
356.28833 - 594,829 - Button.right
356.39550 - 590,828 - Button.right
356.50770 - 591,827 - Button.right
356.60776 - 590,827 - Button.right
356.72487 - 590,827 - Button.right
357.81673 - 500,959 - Button.right
357.94717 - 437,1013 - Button.right
358.44518 - 488,806 - Button.right
358.53614 - 508,787 - Button.right
358.64568 - 513,698 - Button.right
358.75443 - 506,690 - Button.right
358.85332 - 535,629 - Button.right
358.95581 - 547,629 - Button.right
359.05476 - 576,619 - Button.right
359.16672 - 607,649 - Button.right
359.28565 - 660,727 - Button.right
359.39731 - 665,758 - Button.right
359.48683 - 656,775 - Button.right
359.59877 - 623,804 - Button.right
359.74148 - 589,781 - Button.right
359.84638 - 568,775 - Button.right
359.96279 - 507,695 - Button.right
360.06694 - 532,630 - Button.right
360.17863 - 658,573 - Button.right
360.27916 - 612,645 - Button.right
361.62160 - 670,513 - Button.right
361.73419 - 496,683 - Button.right
361.81995 - 447,766 - Button.right
361.93795 - 384,878 - Button.right
362.40738 - 405,878 - Button.right
362.50607 - 495,829 - Button.right
362.59323 - 495,829 - Button.right
362.71401 - 500,829 - Button.right
362.99371 - 519,742 - Button.right
363.12381 - 508,764 - Button.right
363.60810 - 483,660 - Button.right
363.70732 - 460,707 - Button.right
363.81305 - 433,741 - Button.right
363.91091 - 410,759 - Button.right
364.03016 - 408,759 - Button.right
364.13512 - 419,745 - Button.right
364.47557 - 490,672 - Button.right
364.57244 - 490,671 - Button.right
364.67914 - 488,671 - Button.right
364.77913 - 481,670 - Button.right
365.33615 - 290,554 - Button.right
365.43965 - 251,600 - Button.right
365.55423 - 251,603 - Button.right
365.66995 - 244,642 - Button.right
366.07328 - 320,954 - Button.right
366.14273 - 31,1279 - Button.right
366.39200 - 374,889 - Button.right
366.50428 - 419,911 - Button.right
367.18729 - 549,811 - Button.right
367.26436 - 549,811 - Button.right
367.44017 - 557,810 - Button.right
367.52211 - 563,811 - Button.right
368.06522 - 563,650 - Button.right
368.16750 - 579,652 - Button.right
368.30056 - 626,674 - Button.right
368.35646 - 634,685 - Button.right
368.74546 - 703,762 - Button.right
368.84412 - 705,762 - Button.right
368.97692 - 650,720 - Button.right
369.11336 - 494,715 - Button.right
369.26142 - 495,724 - Button.right
369.38041 - 523,765 - Button.right
369.73869 - 406,686 - Button.right
369.84133 - 380,654 - Button.right
369.92153 - 366,624 - Button.right
370.04661 - 367,624 - Button.right
370.18949 - 576,540 - Button.right
370.31953 - 583,541 - Button.right
370.42352 - 567,581 - Button.right
370.52349 - 568,602 - Button.right
370.62451 - 593,610 - Button.right
370.72961 - 645,582 - Button.right
371.37596 - 612,715 - Button.right
371.47408 - 614,716 - Button.right
371.60935 - 621,725 - Button.right
371.73555 - 622,725 - Button.right
372.12772 - 866,653 - Button.right
372.21789 - 868,652 - Button.right
372.33297 - 874,652 - Button.right
372.43158 - 878,651 - Button.right
372.99166 - 940,501 - Button.right
373.08313 - 939,501 - Button.right
373.20458 - 932,490 - Button.right
373.29905 - 932,490 - Button.right
373.42148 - 967,479 - Button.right
373.51975 - 971,477 - Button.right
373.65767 - 1087,431 - Button.right
373.74754 - 1094,434 - Button.right
375.27933 - 732,485 - Button.right
375.38596 - 757,416 - Button.right
375.47094 - 757,418 - Button.right
375.58413 - 767,428 - Button.right
375.69291 - 777,470 - Button.right
375.79221 - 784,474 - Button.right
375.90489 - 805,499 - Button.right
376.01492 - 826,545 - Button.right
376.12705 - 819,579 - Button.right
376.23479 - 836,601 - Button.right
376.72388 - 867,599 - Button.right
376.81985 - 819,669 - Button.right
377.27261 - 919,696 - Button.right
377.37103 - 923,696 - Button.right
378.11887 - 814,668 - Button.right
378.22949 - 822,670 - Button.right
378.34297 - 818,679 - Button.right
378.45871 - 795,712 - Button.right
379.71511 - 863,572 - Button.right
379.80509 - 870,545 - Button.right
379.90609 - 955,463 - Button.right
380.00566 - 968,469 - Button.right
380.13823 - 889,499 - Button.right
380.24436 - 743,529 - Button.right
380.35267 - 732,534 - Button.right
380.45454 - 668,632 - Button.right
380.56519 - 676,676 - Button.right
380.67124 - 696,698 - Button.right
380.78256 - 699,719 - Button.right
380.89318 - 695,758 - Button.right
381.02921 - 695,775 - Button.right
381.14361 - 698,776 - Button.right
381.26597 - 665,812 - Button.right
381.36954 - 608,884 - Button.right
381.46823 - 606,932 - Button.right
381.59555 - 525,1034 - Button.right
381.97328 - 658,906 - Button.right
382.06533 - 662,905 - Button.right
382.20387 - 719,899 - Button.right
382.30191 - 728,901 - Button.right
382.48707 - 739,880 - Button.right
382.55637 - 729,879 - Button.right
382.76632 - 718,883 - Button.right
382.85964 - 699,890 - Button.right
383.90402 - 763,771 - Button.right
383.99427 - 735,769 - Button.right
384.09943 - 682,753 - Button.right
384.21438 - 616,755 - Button.right
384.34146 - 567,714 - Button.right
384.43299 - 549,706 - Button.right
384.55337 - 538,683 - Button.right
384.64245 - 526,677 - Button.right
384.74498 - 519,649 - Button.right
384.82822 - 516,642 - Button.right
384.94848 - 517,633 - Button.right
385.03831 - 530,633 - Button.right
385.17433 - 517,602 - Button.right
385.22424 - 517,601 - Button.right
385.41693 - 521,589 - Button.right
385.51445 - 521,588 - Button.right
385.64320 - 521,579 - Button.right
385.73582 - 515,572 - Button.right
385.83560 - 455,565 - Button.right
385.95965 - 360,777 - Button.right
386.06926 - 352,827 - Button.right
386.17299 - 355,843 - Button.right
386.30038 - 428,885 - Button.right
386.41034 - 475,902 - Button.right
386.52392 - 571,909 - Button.right
386.63023 - 582,885 - Button.right
386.72699 - 659,836 - Button.right
386.80840 - 654,837 - Button.right
386.94460 - 751,743 - Button.right
387.03658 - 751,740 - Button.right
387.12479 - 757,686 - Button.right
387.21362 - 758,686 - Button.right
387.78188 - 922,446 - Button.right
387.86730 - 642,565 - Button.right
387.96968 - 421,690 - Button.right
388.08381 - 214,871 - Button.right
388.17902 - 167,945 - Button.right
388.27600 - 174,945 - Button.right
388.38089 - 171,947 - Button.right
388.50172 - 171,950 - Button.right
389.35261 - 374,1040 - Button.right
389.43893 - 374,1039 - Button.right
389.54992 - 374,1039 - Button.right
389.69169 - 374,1038 - Button.right
