420.51400-434,516-516
420.70600-396,490-516
421.58300-571,410-516
421.79000-586,383-516
421.98600-594,338-516
422.23100-507,247-516
422.89300-444,279-516
424.27300-469,859-513
425.59200-758,102-516
426.32900-617,192-516
426.53900-495,267-516
427.51300-665,258-516
427.69800-670,261-516
428.65800-559,372-516
428.85900-550,426-516
429.31100-455,394-516
429.50600-433,364-516
429.68300-441,313-516
429.86300-443,297-516
430.40200-608,281-516
430.62700-697,198-516
430.80500-843,83-516
431.23000-922,191-516
431.42100-700,188-516
431.62200-673,184-516
431.86200-686,175-516
432.04900-687,175-516
432.26100-722,156-516
432.45900-740,139-516
433.32800-1049,241-516
433.50900-1140,257-516
433.69000-1197,227-516
433.90100-1220,220-516
434.09400-1269,235-516
434.28500-1292,227-516
434.47700-1303,229-516
434.66000-1326,229-516
434.87300-1363,214-516
435.06200-1382,196-516
435.26000-1447,177-516
435.46500-1499,167-516
435.64100-1550,158-516
435.84400-1591,161-516
436.05600-1602,165-516
436.24600-1611,171-516
436.54400-1636,171-516
437.14500-1612,307-516
437.31000-1644,301-516
437.49800-1704,285-516
438.15400-639,471-513
438.44300-1547,232-516
438.65500-1668,274-516
439.40300-1580,404-516
439.60500-1484,457-516
439.83600-1425,486-516
440.05500-1140,635-516
440.26300-790,757-516
440.46900-737,783-516
440.68100-659,790-516
440.89100-611,788-516
441.13100-588,789-516
441.84700-520,800-513
442.62400-847,607-516
442.78600-671,704-516
442.99800-592,744-516
443.23900-807,526-516
443.48500-929,442-516
443.67200-1005,432-516
443.87600-1082,475-516
444.81500-1025,397-516
445.02400-934,412-516
445.30500-693,484-516
445.56300-643,497-516
445.75800-586,553-516
445.95400-582,578-516
446.46500-979,333-516
446.65200-944,275-516
446.86400-875,352-516
447.43300-770,407-516
447.64500-722,486-516
448.55700-849,307-516
448.77000-853,301-516
449.01900-710,348-516
449.53500-924,352-516
449.76000-904,296-516
450.01200-786,277-516
450.52400-744,388-516
450.78200-828,480-516
451.31000-825,390-516
451.53300-962,396-516
452.24400-913,453-516
452.46300-857,344-516
452.68700-843,350-516
453.10700-892,295-516
453.33100-893,281-516
453.60500-983,234-516
454.14200-1487,236-516
454.33100-1569,280-516
454.96100-1388,874-516
455.18200-1451,827-516
455.95200-1336,848-516
456.85200-905,774-516
457.04400-985,785-516
458.30200-1080,881-513
460.04200-728,163-516
460.18800-727,161-516
460.39600-657,156-516
460.60100-614,159-516
461.08500-466,107-516
462.36600-731,289-516
462.55600-538,288-516
463.90700-797,450-516
464.15400-806,379-516
464.47700-761,312-516
464.67300-730,333-516
467.00400-824,455-516
468.50700-899,311-516
468.67500-854,316-516
469.13300-761,430-516
470.26200-1253,210-516
470.45600-1243,292-516
470.65000-1240,334-516
470.87700-1226,362-516
471.51800-1320,431-516
471.73500-1364,488-516
471.96500-1364,449-516
472.25900-1194,323-516
472.46200-1099,261-516
472.64600-1075,261-516
472.84200-1074,264-516
476.24500-998,361-516
477.38000-845,316-516
478.43200-1067,255-516
478.64700-1083,253-516
478.84000-1159,197-516
480.10400-898,926-513
480.50500-1030,417-516
480.70600-937,319-516
480.90300-880,312-516
481.11900-850,331-516
481.47300-894,278-516
482.30500-1167,118-516
482.48500-1197,99-516
483.08900-1453,312-516
483.29600-1541,325-516
484.59200-1206,332-516
484.77400-1230,354-516
485.01100-1276,311-516
485.37300-1058,131-516
485.59800-919,186-516
485.80100-950,199-516
486.80200-935,313-516
486.99700-1091,363-516
487.19000-1159,308-516
487.66300-942,223-516
488.44400-454,534-513
488.85400-1054,221-516
489.02900-1074,239-516
490.90700-1227,318-516
491.08400-1274,336-516
491.96400-1280,369-516
492.15100-1282,421-516
492.35500-1166,453-516
492.58100-1108,520-516
492.80400-1052,597-516
493.01300-1001,631-516
493.22200-969,641-516
494.84500-429,523-513
495.33800-1213,289-516
495.52400-1236,322-516
497.03500-1069,301-516
497.83100-809,403-516
498.25800-1055,306-516
498.46300-1004,483-516
498.65900-802,620-516
498.93000-713,574-516
499.16500-708,574-516
499.55100-708,574-516
501.35300-689,483-516
501.90100-1014,263-516
502.07700-1054,274-516
502.27500-1099,266-516
502.51800-1104,266-516
502.79800-528,552-516
503.03600-638,529-516
503.23700-697,510-516
503.46300-677,505-516
504.13900-926,362-516
504.42400-531,552-516
504.68900-543,552-516
505.71700-869,333-516
505.90100-1004,280-516
506.08700-1048,253-516
506.30100-1041,266-516
506.52100-1048,296-516
506.77000-1025,413-516
507.03500-1034,473-516
507.81700-1017,293-516
508.03300-972,299-516
508.62300-1067,316-516
508.81500-1123,341-516
509.44900-699,543-513
509.89700-1145,239-516
511.48000-988,199-516
511.67500-969,230-516
512.93200-1122,215-516
513.13200-1080,314-516
513.29600-992,389-516
513.47600-922,446-516
513.66500-864,502-516
513.83200-789,523-516
514.08500-796,454-513
514.31800-1221,291-516
514.49900-1219,265-516
514.68100-1250,249-516
514.87800-1250,249-516
515.33600-855,343-516
515.57900-1078,327-516
515.81600-1242,302-516
516.01300-1270,294-516
516.21300-1315,279-516
517.21100-1110,310-516
517.45300-1060,323-516
517.72500-1111,322-516
518.33900-1028,325-516
518.53800-976,330-516
518.75200-954,346-516
519.01300-954,346-516
521.68300-980,426-516
525.42300-857,426-516
525.60400-818,457-516
526.75000-756,458-516
534.02000-871,443-516
540.01400-826,366-516
543.18000-894,393-516
544.39800-581,678-513
545.86900-868,573-516
546.06900-848,555-516
546.27500-810,509-516
551.33300-972,488-516
552.75800-1024,354-516
552.93900-1032,353-516
553.14300-1043,335-516
553.66400-922,320-516
553.85300-877,348-516
554.64600-926,407-516
556.67700-942,372-516
557.17200-848,485-516
557.77500-858,321-516
557.96300-884,301-516
558.43100-640,285-516
558.61700-732,250-516
559.26600-805,350-516
559.47200-737,401-516
559.68000-663,431-516
559.88100-655,432-516
562.52400-1053,323-516
562.68600-1072,324-516
563.60900-898,921-513
564.27400-1193,450-516
565.36900-1230,294-516
565.54900-1185,257-516
565.73400-1187,229-516
568.41200-867,380-516
568.62200-706,277-516
568.85300-661,268-516
569.11800-537,349-516
569.34900-532,353-516
569.56000-532,353-516
570.52000-1051,49-516
570.70700-1057,45-516
572.58100-309,637-513
576.25600-975,232-516
576.44200-958,248-516
576.65600-881,299-516
576.88200-829,335-516
577.05300-825,341-516
577.24800-806,350-516
577.67400-731,431-513
578.24400-1036,196-516
578.44800-1080,212-516
578.64800-1120,219-516
578.87800-1119,235-516
579.92200-1281,268-516
580.12400-949,333-516
580.36500-883,429-516
580.75800-813,581-516
581.17500-859,443-516
581.38500-823,419-516
581.63600-858,378-516
581.85100-983,332-516
584.88200-906,645-516
585.05100-910,631-516
585.87500-746,440-516
586.11300-712,429-516
586.30200-622,475-516
586.83500-551,814-513
587.43700-1042,357-516
587.63300-1068,379-516
587.88800-1112,387-516
588.16200-776,398-516
588.37500-774,461-516
588.60300-782,552-516
588.80600-778,624-516
589.36600-660,555-516
590.31800-444,799-513
591.11500-1057,400-516
591.29500-1095,363-516
591.49900-1108,365-516
591.71200-1135,357-516
591.92800-1135,357-516
592.42400-1199,310-516
593.03700-1086,454-516
593.24100-997,468-516
593.43900-919,467-516
593.66800-927,424-516
593.88700-994,385-516
594.20000-833,550-516
594.44900-772,622-516
594.63600-765,664-516
594.83600-757,685-516
595.27300-1063,421-516
595.47100-1064,492-516
595.72700-1063,502-516
596.07100-883,738-516
596.57600-955,534-516
596.73800-919,461-516
597.80000-824,301-516
597.98900-901,219-516
598.26700-1287,187-516
598.46000-1418,260-516
599.32000-1287,261-516
601.04100-1185,281-516
601.79100-1337,315-516
601.98700-1365,344-516
602.90400-1367,715-516
603.08700-1362,715-516
604.46400-1356,724-513
605.46800-1039,400-516
605.63100-934,322-516
605.81000-711,289-516
606.52700-468,555-516
606.69000-472,555-516
608.17200-754,326-516
608.34600-756,328-516
608.55500-750,337-516
611.34300-1049,763-513
611.88600-362,475-516
612.07600-420,349-516
613.56600-530,384-516
613.77700-548,515-516
614.29600-630,827-516
616.69300-864,366-516
616.88700-915,316-516
617.06400-990,269-516
617.28100-1008,272-516
617.46400-1098,223-516
617.67500-1140,204-516
618.16100-1176,308-516
618.37800-1175,330-516
619.22600-1129,819-516
619.42700-1129,819-516
619.62600-1129,820-516
620.48500-1131,821-516
621.80800-1132,821-516
623.06700-1288,593-516
623.24600-1255,533-516
623.41600-1228,472-516
623.91500-780,465-513
624.19200-893,452-513
624.97100-879,324-516
625.12500-875,164-516
625.50500-963,86-516
625.99500-967,62-516
626.85900-1169,249-516
627.05700-1163,236-516
627.28900-1004,263-516
627.48600-1191,224-516
627.68600-1289,205-516
627.87000-1424,147-516
628.09500-1435,120-516
629.25400-1100,284-516
629.45500-1131,299-516
629.68500-1186,298-516
629.87500-1240,266-516
630.08600-1241,265-516
630.29000-1263,246-516
630.49200-1272,235-516
630.71300-1299,205-516
630.92800-1311,192-516
631.16100-1317,191-516
631.92500-857,726-513
632.25900-1328,199-516
632.42800-1364,187-516
632.69400-1358,187-516
632.93300-1360,183-516
633.61600-1175,210-516
633.79800-976,263-516
633.98400-921,342-516
635.87500-852,272-516
636.39300-1154,154-516
636.56900-1268,92-516
636.82800-941,141-516
637.02600-936,168-516
637.49800-877,266-516
638.56200-709,396-516
638.75600-705,460-516
639.80200-688,87-516
640.02100-866,209-516
640.21200-1015,257-516
640.43700-1009,291-516
641.00500-1491,267-516
641.22300-1484,274-516
641.54700-1168,398-516
641.76300-1012,457-516
642.21800-1434,306-516
642.42000-1522,298-516
642.61500-1591,226-516
647.39400-1085,387-516
647.58600-877,473-516
647.76400-815,501-516
647.96800-667,570-516
648.96800-1066,416-516
649.18500-1107,395-516
649.64500-1416,312-516
649.82400-1465,302-516
650.56800-1506,239-516
650.73400-1516,246-516
651.99100-1409,344-516
655.29100-904,578-516
655.46100-817,611-516
655.62800-769,691-516
655.81700-708,743-516
658.50500-794,506-516
658.93700-767,471-516
659.14500-733,444-516
659.34900-713,422-516
659.53400-797,401-516
659.74000-856,556-516
659.98900-857,578-516
660.21300-937,527-516
660.42900-948,428-516
660.63900-805,373-516
660.86600-751,401-516
661.13200-725,405-516
661.33700-777,319-516
661.54000-1018,282-516
661.73100-1078,289-516
661.94000-1101,306-516
662.15600-1137,337-516
662.96900-516,715-513
663.62800-1297,181-516
665.14300-868,275-516
665.79800-1136,101-516
665.96700-1222,111-516
666.17700-1347,69-516
667.08200-1228,289-516
667.30000-1272,273-516
667.60200-1341,289-516
667.77500-1426,291-516
667.96700-1493,183-516
668.15100-1801,4-516
668.60900-1652,345-516
668.82000-1712,305-516
669.55100-1571,292-516
669.74600-1596,300-516
669.93900-1715,309-516
670.39000-1805,330-516
670.58000-1806,343-516
671.68700-1439,459-516
671.87800-1418,460-516
672.14400-1329,455-516
672.59300-1162,404-516
672.80600-1047,363-516
673.01300-1056,332-516
673.24200-1007,364-516
673.66800-1381,383-516
673.87600-1372,426-516
674.09600-1334,468-516
674.64900-1323,527-516
675.13400-1338,435-516
675.37100-1396,379-516
675.57200-1291,462-516
675.79300-1286,509-516
676.00800-1217,549-516
676.22800-1170,563-516
676.44700-1116,533-516
676.70700-1017,471-516
676.92200-1018,443-516
677.26200-1058,391-516
677.85000-1171,597-516
678.89200-1051,200-516
679.06200-1075,129-516
679.38800-1032,336-516
679.64500-839,407-516
680.14000-467,596-513
680.77200-697,301-516
682.75100-400,372-516
683.75300-403,615-516
683.99800-734,448-516
684.17800-798,300-516
684.36800-984,223-516
684.55100-1072,241-516
686.34400-836,928-513
686.82000-1133,380-516
687.38700-1005,310-516
687.59900-1003,236-516
687.82600-887,309-516
688.08400-821,399-516
688.30900-783,447-516
688.50300-767,455-516
688.92400-933,533-516
689.81400-874,274-516
690.00900-808,321-516
690.41900-723,392-516
690.86200-493,569-516
691.06300-550,582-516
691.79200-537,585-516
692.94400-866,328-516
693.13100-945,332-516
693.72100-675,430-516
701.85100-716,279-516
702.04800-849,282-516
702.21400-1038,331-516
702.98300-731,481-516
703.15000-744,479-516
704.07700-373,786-513
705.70800-1450,184-516
705.92800-1507,285-516
706.49800-1299,230-516
706.72800-1314,193-516
707.95600-1356,150-516
708.14300-1349,218-516
708.36300-1351,238-516
708.63600-1283,163-516
708.86200-1274,162-516
709.40700-1250,182-516
709.60600-1273,198-516
709.79900-1279,206-516
710.61500-1346,248-516
710.83900-1285,263-516
711.05700-1152,283-516
711.28200-1026,351-516
711.61300-1241,298-516
711.91900-1221,337-516
712.14700-1194,412-516
712.60700-1205,301-516
712.80200-1182,278-516
713.01600-1175,271-516
713.46000-1045,193-516
713.71800-1029,206-516
714.20100-1056,180-516
714.38500-1123,117-516
714.77900-958,293-516
714.98300-979,262-516
715.26300-1334,168-516
716.19500-1067,205-516
716.39900-1058,232-516
717.66700-1006,159-516
722.08900-1144,384-516
722.26600-1140,389-516
722.49100-1219,381-516
722.69500-1289,374-516
722.91300-1293,363-516
723.12700-1298,372-516
723.36700-1388,332-516
723.55000-1385,206-516
723.73600-1668,28-516
724.07600-1302,142-516
724.27600-1283,125-516
724.89600-1241,445-516
725.09000-1320,436-516
725.28900-1341,412-516
725.69400-1090,369-516
725.95200-1087,367-516
726.54400-1315,396-516
726.76200-1318,463-516
727.21400-1458,309-516
728.73900-1320,255-516
728.91700-1446,179-516
729.67900-1348,335-516
729.92600-1364,381-516
730.22200-1424,335-516
730.63300-1579,276-516
731.31600-1564,233-516
732.01500-1548,348-516
732.21300-1544,349-516
735.02200-1425,307-516
735.22800-1433,307-516
735.47200-1446,307-516
735.81400-1505,302-516
736.00500-1531,344-516
736.70500-1517,306-516
736.89800-1508,306-516
738.04200-1344,321-516
738.25900-1393,385-516
738.47100-1344,391-516
739.96800-310,557-513
742.45900-1470,357-516
743.08500-1434,492-516
743.30300-1400,540-516
743.64000-1430,278-516
