132.34186 - 603,750 - Button.right
132.41783 - 524,843 - Button.right
132.50466 - 517,853 - Button.right
132.70931 - 494,959 - Button.right
132.79441 - 512,942 - Button.right
132.81737 - 512,941 - Button.right
132.89109 - 527,924 - Button.right
132.99103 - 480,942 - Button.right
133.48673 - 408,781 - Button.right
133.57386 - 394,812 - Button.right
133.68197 - 415,865 - Button.right
133.77905 - 380,887 - Button.right
133.87238 - 343,874 - Button.right
133.97992 - 336,888 - Button.right
134.06228 - 321,889 - Button.right
134.15990 - 321,889 - Button.right
134.26508 - 306,876 - Button.right
134.33266 - 307,874 - Button.right
134.44393 - 361,779 - Button.right
134.54280 - 365,775 - Button.right
134.64745 - 347,783 - Button.right
134.74399 - 312,816 - Button.right
135.09924 - 816,414 - Button.right
135.19761 - 828,411 - Button.right
135.29345 - 942,328 - Button.right
135.40591 - 977,336 - Button.right
135.49796 - 1057,328 - Button.right
135.63630 - 1076,398 - Button.right
135.71640 - 1140,431 - Button.right
135.81947 - 1130,483 - Button.right
136.38947 - 883,834 - Button.right
136.48097 - 877,828 - Button.right
136.59455 - 686,726 - Button.right
136.69645 - 684,728 - Button.right
136.80626 - 603,754 - Button.right
136.89642 - 446,793 - Button.right
137.16901 - 1208,499 - Button.right
137.24165 - 1273,454 - Button.right
137.34373 - 1414,356 - Button.right
137.44664 - 1347,324 - Button.right
137.56105 - 1376,155 - Button.right
137.66605 - 1380,156 - Button.right
137.93420 - 1398,76 - Button.right
138.01945 - 1399,78 - Button.right
138.25367 - 1479,209 - Button.right
138.34653 - 1491,211 - Button.right
140.34278 - 1610,233 - Button.right
140.45425 - 1668,142 - Button.right
141.30221 - 959,413 - Button.right
141.40287 - 957,405 - Button.right
141.52504 - 945,382 - Button.right
141.64326 - 945,372 - Button.right
142.44129 - 1397,406 - Button.right
142.55068 - 1399,408 - Button.right
142.71653 - 1479,379 - Button.right
142.76349 - 1479,380 - Button.right
143.19957 - 924,890 - Button.right
143.29576 - 1058,723 - Button.right
143.38352 - 1281,645 - Button.right
143.47986 - 1230,770 - Button.right
143.77974 - 1604,451 - Button.right
143.88235 - 1602,454 - Button.right
144.70363 - 949,1119 - Button.left
144.81560 - 948,1105 - Button.left
145.10259 - 1430,513 - Button.right
145.21235 - 1429,512 - Button.right
145.30165 - 1429,514 - Button.right
145.40761 - 1450,516 - Button.right
145.68529 - 1541,475 - Button.right
145.74167 - 1553,455 - Button.right
145.83459 - 1589,411 - Button.right
145.94717 - 1589,410 - Button.right
146.02681 - 1611,403 - Button.right
146.13529 - 1610,403 - Button.right
146.24445 - 1610,403 - Button.right
146.35047 - 1603,403 - Button.right
146.69300 - 1620,263 - Button.right
146.80725 - 1620,248 - Button.right
147.15732 - 1656,319 - Button.right
147.25789 - 1654,342 - Button.right
147.37131 - 1679,369 - Button.right
147.46690 - 1682,367 - Button.right
147.59143 - 1729,311 - Button.right
147.67683 - 1730,311 - Button.right
147.89999 - 1747,244 - Button.right
147.98461 - 1747,241 - Button.right
148.07638 - 1770,181 - Button.right
148.19125 - 1755,197 - Button.right
148.57728 - 1451,267 - Button.right
148.67365 - 1451,266 - Button.right
148.76232 - 1463,237 - Button.right
148.85671 - 1448,240 - Button.right
148.93470 - 1451,230 - Button.right
149.03768 - 1452,235 - Button.right
149.17827 - 1481,204 - Button.right
149.30963 - 1470,173 - Button.right
149.41070 - 1474,148 - Button.right
149.50084 - 1482,104 - Button.right
149.55772 - 1499,13 - Button.right
149.67011 - 1471,10 - Button.right
150.10467 - 1568,601 - Button.right
150.20868 - 1610,597 - Button.right
150.29891 - 1623,514 - Button.right
150.41128 - 1609,547 - Button.right
150.49036 - 1623,539 - Button.right
150.60436 - 1637,561 - Button.right
150.67774 - 1650,501 - Button.right
150.80083 - 1648,498 - Button.right
150.88671 - 1640,484 - Button.right
150.99531 - 1639,482 - Button.right
151.07166 - 1622,467 - Button.right
151.17691 - 1622,458 - Button.right
151.25873 - 1612,438 - Button.right
151.39122 - 1613,426 - Button.right
151.46030 - 1607,403 - Button.right
151.62058 - 1594,357 - Button.right
151.66240 - 1587,348 - Button.right
151.82522 - 1588,337 - Button.right
151.90742 - 1706,325 - Button.right
152.00722 - 1711,317 - Button.right
152.12379 - 1680,200 - Button.right
152.20375 - 1680,198 - Button.right
152.29984 - 1671,74 - Button.right
152.40982 - 1679,105 - Button.right
152.91895 - 1498,269 - Button.right
153.02119 - 1500,281 - Button.right
153.12934 - 1466,278 - Button.right
153.22396 - 1447,281 - Button.right
153.34893 - 1370,246 - Button.right
153.47822 - 1340,289 - Button.right
153.62241 - 1340,387 - Button.right
153.72275 - 1348,386 - Button.right
153.90358 - 1512,326 - Button.right
154.00162 - 1528,320 - Button.right
154.63962 - 1522,243 - Button.right
154.79294 - 1523,225 - Button.right
154.90138 - 1519,224 - Button.right
155.00634 - 1519,224 - Button.right
163.40376 - 1314,1253 - Button.left
163.49128 - 1314,1253 - Button.left
165.73674 - 1144,383 - Button.right
165.84001 - 1143,382 - Button.right
168.14428 - 2013,1180 - Button.left
168.23707 - 2013,1180 - Button.left
174.07570 - 933,416 - Button.right
174.17818 - 933,414 - Button.right
174.27325 - 933,415 - Button.right
174.36745 - 933,414 - Button.right
174.47006 - 927,406 - Button.right
174.57210 - 927,406 - Button.right
174.67177 - 923,398 - Button.right
174.79337 - 922,398 - Button.right
174.87624 - 922,398 - Button.right
175.00015 - 922,398 - Button.right
175.25943 - 978,433 - Button.right
175.35281 - 987,436 - Button.right
175.46698 - 1010,433 - Button.right
175.57681 - 1011,433 - Button.right
176.22187 - 1112,496 - Button.right
176.28922 - 1111,498 - Button.right
176.39501 - 1111,541 - Button.right
176.48279 - 1106,557 - Button.right
