121.35941 - 1180,783 - Button.right
121.45521 - 1148,822 - Button.right
121.52769 - 1260,798 - Button.right
121.64305 - 1244,819 - Button.right
121.72175 - 1209,809 - Button.right
121.83113 - 1221,814 - Button.right
121.90058 - 1230,796 - Button.right
122.02681 - 1238,785 - Button.right
122.14099 - 1703,480 - Button.right
122.24907 - 1737,460 - Button.right
122.34688 - 1783,375 - Button.right
122.46658 - 1842,297 - Button.right
122.82875 - 1725,229 - Button.right
122.93174 - 1730,229 - Button.right
123.04549 - 1886,210 - Button.right
123.13056 - 1944,154 - Button.right
123.46977 - 1425,230 - Button.right
123.55767 - 1404,239 - Button.right
123.65997 - 1261,276 - Button.right
123.75212 - 1198,301 - Button.right
123.87041 - 1184,287 - Button.right
123.99272 - 1185,288 - Button.right
124.13841 - 1200,285 - Button.right
124.24115 - 1115,332 - Button.right
124.33047 - 904,399 - Button.right
124.45420 - 841,450 - Button.right
124.55918 - 836,446 - Button.right
124.66961 - 786,483 - Button.right
124.75477 - 803,523 - Button.right
124.87191 - 774,597 - Button.right
124.95769 - 774,597 - Button.right
125.07366 - 786,610 - Button.right
125.15380 - 861,617 - Button.right
125.29296 - 836,683 - Button.right
125.36060 - 841,691 - Button.right
125.46964 - 862,727 - Button.right
125.55861 - 863,706 - Button.right
125.67283 - 883,705 - Button.right
125.81187 - 1026,602 - Button.right
125.89064 - 1133,517 - Button.right
126.00625 - 1341,373 - Button.right
126.12492 - 1343,372 - Button.right
126.21793 - 1430,355 - Button.right
126.34877 - 1388,523 - Button.right
126.45469 - 1409,538 - Button.right
126.58263 - 1417,566 - Button.right
126.71672 - 1390,590 - Button.right
126.79579 - 1344,614 - Button.right
127.13034 - 1392,651 - Button.right
127.22931 - 1425,761 - Button.right
127.34703 - 1223,688 - Button.right
127.45668 - 913,713 - Button.right
127.55533 - 710,752 - Button.right
127.66564 - 702,769 - Button.right
127.78020 - 705,737 - Button.right
127.92286 - 633,794 - Button.right
128.00227 - 627,841 - Button.right
128.14812 - 625,878 - Button.right
128.22736 - 627,867 - Button.right
128.33873 - 620,892 - Button.right
128.43871 - 616,963 - Button.right
128.53914 - 613,960 - Button.right
128.64753 - 537,871 - Button.right
128.75696 - 522,880 - Button.right
128.86993 - 519,891 - Button.right
128.97443 - 524,895 - Button.right
129.08666 - 533,867 - Button.right
129.20372 - 548,868 - Button.right
130.22127 - 957,623 - Button.right
130.31283 - 970,625 - Button.right
130.46217 - 1032,603 - Button.right
130.55755 - 1038,610 - Button.right
130.68236 - 1065,613 - Button.right
130.79046 - 844,686 - Button.right
130.90447 - 571,740 - Button.right
131.01461 - 524,765 - Button.right
131.12227 - 448,793 - Button.right
131.27473 - 372,835 - Button.right
131.37335 - 319,945 - Button.right
131.50933 - 300,1012 - Button.right
131.61973 - 311,1021 - Button.right
131.71365 - 311,1021 - Button.right
131.80486 - 294,1001 - Button.right
131.91865 - 296,1009 - Button.right
132.00717 - 292,1019 - Button.right
132.14413 - 266,1076 - Button.right
132.22104 - 254,1013 - Button.right
132.34129 - 210,1052 - Button.right
