520.59200-975,319-516
520.81100-942,364-516
521.02500-925,389-516
521.23700-921,406-516
521.48500-931,351-516
521.79000-957,273-516
522.01200-997,268-516
522.26200-1057,335-516
522.48900-1075,303-516
522.73900-1079,335-516
522.95600-1109,348-516
523.20700-1143,364-516
523.44600-1183,323-516
523.72000-1226,342-516
523.92200-1145,295-516
524.20700-1077,262-516
524.45400-1035,236-516
524.68400-1018,268-516
524.93300-1024,300-516
525.16400-988,225-516
525.65500-955,329-516
525.87600-898,367-516
526.05800-890,377-516
526.78700-902,409-516
527.14300-1075,323-516
527.35700-1097,322-516
527.57200-1129,322-516
527.80100-1185,347-516
528.02900-1205,347-516
528.26200-1245,338-516
528.48600-1271,300-516
528.73600-1140,196-516
528.94200-1032,200-516
529.14400-977,206-516
529.34500-953,206-516
529.56000-945,192-516
529.75600-988,136-516
529.98300-991,183-516
530.19800-987,232-516
530.42900-962,260-516
530.69000-898,280-516
531.03000-972,296-516
531.26200-990,327-516
531.52700-980,357-516
531.77600-954,362-516
531.99600-968,331-516
532.18500-964,282-516
532.39500-999,221-516
532.61400-1046,197-516
532.84500-1094,189-516
533.34600-1165,123-516
533.88600-1379,190-516
534.13700-1276,243-516
534.38000-1209,230-516
534.61600-1111,216-516
534.88400-965,244-516
535.14200-946,296-516
535.37500-1022,397-516
535.61300-1114,495-516
535.82200-1167,506-516
536.03600-1207,468-516
536.25300-1237,436-516
536.51300-1251,449-516
536.73700-1247,451-516
536.96100-1240,482-516
537.29500-1325,423-516
537.58000-1324,413-516
537.79200-1341,429-516
538.06800-1249,332-516
538.30600-1159,337-516
538.54900-1151,344-516
538.78300-1119,328-516
539.01500-1072,292-516
539.28600-1082,330-516
539.76700-1037,366-513
540.66700-964,412-516
540.86400-879,443-516
