103.91106 - 764,712 - Button.right
103.99011 - 755,716 - Button.right
104.10408 - 773,573 - Button.right
104.64570 - 583,765 - Button.right
104.75041 - 568,797 - Button.right
104.84195 - 596,834 - Button.right
104.94532 - 610,847 - Button.right
105.37697 - 882,746 - Button.right
105.52314 - 698,1009 - Button.right
105.61113 - 694,968 - Button.right
105.70270 - 679,980 - Button.right
105.79946 - 572,971 - Button.right
105.92046 - 558,969 - Button.right
106.13577 - 1113,541 - Button.right
106.24959 - 1207,485 - Button.right
106.34811 - 1347,355 - Button.right
106.61812 - 1433,397 - Button.right
106.69006 - 1417,400 - Button.right
106.79975 - 1383,465 - Button.right
106.87618 - 1248,487 - Button.right
106.99273 - 915,679 - Button.right
107.09040 - 659,823 - Button.right
107.21431 - 323,1093 - Button.right
108.05371 - 654,692 - Button.right
108.16642 - 649,770 - Button.right
108.25518 - 628,778 - Button.right
108.34988 - 596,804 - Button.right
108.44591 - 440,1020 - Button.right
108.53003 - 243,1243 - Button.right
109.45742 - 1851,841 - Button.right
109.56220 - 1908,824 - Button.right
109.66890 - 1663,628 - Button.right
109.77669 - 1680,636 - Button.right
109.88312 - 1695,540 - Button.right
110.01079 - 1783,323 - Button.right
110.39085 - 1365,331 - Button.right
110.49174 - 1366,343 - Button.right
110.60917 - 1485,327 - Button.right
110.71528 - 1487,326 - Button.right
110.83205 - 1560,329 - Button.right
110.93114 - 1561,328 - Button.right
111.04418 - 1507,243 - Button.right
111.17148 - 1484,225 - Button.right
111.25412 - 1396,124 - Button.right
111.38225 - 1372,152 - Button.right
111.46069 - 1261,150 - Button.right
111.59411 - 1253,159 - Button.right
111.66765 - 1326,196 - Button.right
111.80348 - 1463,195 - Button.right
111.88662 - 1476,203 - Button.right
111.98367 - 1457,209 - Button.right
112.06326 - 1253,178 - Button.right
112.18014 - 954,414 - Button.right
112.28203 - 840,575 - Button.right
112.39863 - 815,807 - Button.right
113.13063 - 624,732 - Button.right
113.24516 - 626,777 - Button.right
113.33488 - 624,742 - Button.right
113.42892 - 667,542 - Button.right
114.87312 - 1351,386 - Button.right
115.00970 - 1294,386 - Button.right
115.07643 - 1225,395 - Button.right
115.21081 - 1200,453 - Button.right
115.26270 - 1188,459 - Button.right
115.39429 - 1193,528 - Button.right
115.45937 - 1181,534 - Button.right
115.59433 - 1097,596 - Button.right
115.64321 - 1068,598 - Button.right
115.76683 - 829,741 - Button.right
115.83925 - 759,828 - Button.right
115.94876 - 473,1110 - Button.right
116.00800 - 352,1226 - Button.right
116.14824 - 131,1279 - Button.right
116.22889 - 0,1279 - Button.right
116.34030 - 11,1216 - Button.right
116.40611 - 107,935 - Button.right
116.53151 - 141,829 - Button.right
116.60345 - 463,784 - Button.right
116.73162 - 445,798 - Button.right
116.80394 - 346,784 - Button.right
116.93728 - 267,944 - Button.right
117.02397 - 265,950 - Button.right
117.14114 - 268,949 - Button.right
117.22326 - 265,935 - Button.right
117.34607 - 261,932 - Button.right
117.44832 - 296,914 - Button.right
117.57586 - 301,929 - Button.right
117.98097 - 958,188 - Button.right
118.10907 - 1065,198 - Button.right
118.20342 - 1162,190 - Button.right
118.36152 - 1206,262 - Button.right
118.77323 - 1361,469 - Button.right
118.86237 - 1342,590 - Button.right
118.96679 - 1337,670 - Button.right
119.07367 - 1308,749 - Button.right
119.17046 - 1315,812 - Button.right
119.28233 - 1299,849 - Button.right
119.37636 - 1091,910 - Button.right
119.50133 - 1093,922 - Button.right
119.65934 - 1179,701 - Button.right
119.75490 - 1304,504 - Button.right
119.86412 - 1354,333 - Button.right
